city_of_stop,city_name,city_postal,city_count,city_geo
ROY,Royalton,05068,913,"{'place_id': 331059309, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.80074628462428', 'lon': '-72.51482922924856', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05068', 'display_name': 'Royalton, Windsor County, 05068, Vermont, United States', 'boundingbox': ['43.6407463', '43.9607463', '-72.6748292', '-72.3548292']}"
DUM,Dummerston,05301,909,"{'place_id': 331059357, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.852966556426736', 'lon': '-72.64709363926735', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05301', 'display_name': 'Brattleboro, Windham County, 05301, Vermont, United States', 'boundingbox': ['42.6929666', '43.0129666', '-72.8070936', '-72.4870936']}"
SBY,South Shaftsbury,05262,820,"{'place_id': 331059356, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.970122523424656', 'lon': '-73.19893047219179', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05262', 'display_name': 'Shaftsbury, Bennington County, 05262, Vermont, United States', 'boundingbox': ['42.8101225', '43.1301225', '-73.3589305', '-73.0389305']}"
CHA,Charlotte,05445,815,"{'place_id': 331059393, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.3279248641791', 'lon': '-73.20195994179105', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05445', 'display_name': 'Charlotte, Chittenden County, 05445, Vermont, United States', 'boundingbox': ['44.1679249', '44.4879249', '-73.3619599', '-73.0419599']}"
RUT,Rutland,05702,808,"{'place_id': 331059470, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.6252005', 'lon': '-72.9890308', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05702', 'display_name': 'Rutland City, Rutland County, 05702, Vermont, United States', 'boundingbox': ['43.4652005', '43.7852005', '-73.1490308', '-72.8290308']}"
CAM,Cambridge,05141,805,"{'place_id': 331059329, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.1477803', 'lon': '-72.561742', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05141', 'display_name': 'Grafton, Windham County, 05141, Vermont, United States', 'boundingbox': ['42.9877803', '43.3077803', '-72.7217420', '-72.4017420']}"
SJO,St Johnsbury,05819,720,"{'place_id': 331059514, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.42157188062284', 'lon': '-71.99459212076125', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05819', 'display_name': 'Saint Johnsbury, Caledonia County, 05819, Vermont, United States', 'boundingbox': ['44.2615719', '44.5815719', '-72.1545921', '-71.8345921']}"
BEN,Barnet,05821,715,"{'place_id': 331059516, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.30709178240741', 'lon': '-72.09579748148148', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05821', 'display_name': 'Barnet, Caledonia County, 05821, Vermont, United States', 'boundingbox': ['44.1470918', '44.4670918', '-72.2557975', '-71.9357975']}"
SAS,Saint Albans Town,05478,673,"{'place_id': 331059418, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.803296840482574', 'lon': '-73.1045191160858', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05478', 'display_name': 'Saint Albans, Franklin County, 05478, Vermont, United States', 'boundingbox': ['44.6432968', '44.9632968', '-73.2645191', '-72.9445191']}"
LON,Londonderry,05148,673,"{'place_id': 331059333, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.245066039572194', 'lon': '-72.8112094486631', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05148', 'display_name': 'Londonderry, Windham County, 05148, Vermont, United States', 'boundingbox': ['43.0850660', '43.4050660', '-72.9712094', '-72.6512094']}"
FAE,Fairlee,05045,671,"{'place_id': 331059292, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.89524183666301', 'lon': '-72.20459975740944', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05045', 'display_name': 'Fairlee, Orange County, 05045, Vermont, United States', 'boundingbox': ['43.7352418', '44.0552418', '-72.3645998', '-72.0445998']}"
JER,Jericho,05465,668,"{'place_id': 331059409, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.504313188105726', 'lon': '-72.96949594493391', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05465', 'display_name': 'Jericho, Chittenden County, 05465, Vermont, United States', 'boundingbox': ['44.3443132', '44.6643132', '-73.1294959', '-72.8094959']}"
GEO,Georgia,05478,650,"{'place_id': 331059418, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.803296840482574', 'lon': '-73.1045191160858', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05478', 'display_name': 'Saint Albans, Franklin County, 05478, Vermont, United States', 'boundingbox': ['44.6432968', '44.9632968', '-73.2645191', '-72.9445191']}"
SHA,Sharon,05065,634,"{'place_id': 331059307, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.785978477099235', 'lon': '-72.4286642322519', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05065', 'display_name': 'Sharon, Windsor County, 05065, Vermont, United States', 'boundingbox': ['43.6259785', '43.9459785', '-72.5886642', '-72.2686642']}"
DER,Derby,05829,626,"{'place_id': 331059524, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.95073463731343', 'lon': '-72.09996207014926', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05829', 'display_name': 'Derby, Orleans County, 05829, Vermont, United States', 'boundingbox': ['44.7907346', '45.1107346', '-72.2599621', '-71.9399621']}"
WST,Westminster,05158,616,"{'place_id': 331059342, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.09033629162561', 'lon': '-72.45369396896552', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05158', 'display_name': 'Westminster, Windham County, 05158, Vermont, United States', 'boundingbox': ['42.9303363', '43.2503363', '-72.6136940', '-72.2936940']}"
MSX,Middlesex,05602,608,"{'place_id': 331059433, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.25738503793276', 'lon': '-72.5805561056538', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05602', 'display_name': 'Montpelier, Washington County, 05602, Vermont, United States', 'boundingbox': ['44.0973850', '44.4173850', '-72.7405561', '-72.4205561']}"
RUC, Rutland City,05736,605,"{'place_id': 331059477, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.63927057936508', 'lon': '-73.00209858412698', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05736', 'display_name': 'Rutland Town, Rutland County, 05736, Vermont, United States', 'boundingbox': ['43.4792706', '43.7992706', '-73.1620986', '-72.8420986']}"
RAN,Randolph,05060,598,"{'place_id': 331059304, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.93399314707135', 'lon': '-72.67259760756123', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05060', 'display_name': 'Randolph, Orange County, 05060, Vermont, United States', 'boundingbox': ['43.7739931', '44.0939931', '-72.8325976', '-72.5125976']}"
WAT,Waterbury Center,05677,592,"{'place_id': 331059463, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.386705782188294', 'lon': '-72.71745205954198', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05677', 'display_name': 'Waterbury, Washington County, 05677, Vermont, United States', 'boundingbox': ['44.2267058', '44.5467058', '-72.8774521', '-72.5574521']}"
SPR,Springfield,05156,582,""
KIL,Killington,05751,580,"{'place_id': 331059490, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.654114479136695', 'lon': '-72.80576474892086', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05751', 'display_name': 'Killington, Rutland County, 05751, Vermont, United States', 'boundingbox': ['43.4941145', '43.8141145', '-72.9657647', '-72.6457647']}"
THE,Thetford,05074,577,"{'place_id': 331091487, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.879089', 'lon': '-72.240144', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05074', 'display_name': 'Thetford, Orange County, 05074, Vermont, United States', 'boundingbox': ['43.7190890', '44.0390890', '-72.4001440', '-72.0801440']}"
EMO,East Montpelier,05651,577,"{'place_id': 331059441, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.26689581878788', 'lon': '-72.4949333030303', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05651', 'display_name': 'East Montpelier, Washington County, 05651, Vermont, United States', 'boundingbox': ['44.1068958', '44.4268958', '-72.6549333', '-72.3349333']}"
BET,Bethel,05032,564,"{'place_id': 331059280, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.79188529919355', 'lon': '-72.65961815725807', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05032', 'display_name': 'Barnard, Windsor County, 05032, Vermont, United States', 'boundingbox': ['43.6318853', '43.9518853', '-72.8196182', '-72.4996182']}"
SUN,Sunderland,05250,563,""
NHV,New Haven,05472,510,"{'place_id': 331059413, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.114059735897435', 'lon': '-73.16529595641025', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05472', 'display_name': 'New Haven, Addison County, 05472, Vermont, United States', 'boundingbox': ['43.9540597', '44.2740597', '-73.3252960', '-73.0052960']}"
CLA,Clarendon,05759,493,"{'place_id': 331059494, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.55525847655172', 'lon': '-72.96192539793104', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05759', 'display_name': 'Clarendon, Rutland County, 05759, Vermont, United States', 'boundingbox': ['43.3952585', '43.7152585', '-73.1219254', '-72.8019254']}"
MEN,Mendon,05701,492,"{'place_id': 331059469, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.627490201492535', 'lon': '-72.94350043747927', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05701', 'display_name': 'Rutland Town, Rutland County, 05701, Vermont, United States', 'boundingbox': ['43.4674902', '43.7874902', '-73.1035004', '-72.7835004']}"
COL,Colchester,05439,484,"{'place_id': 331059387, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.49483035', 'lon': '-73.16453521666666', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05439', 'display_name': 'Colchester, Chittenden County, 05439, Vermont, United States', 'boundingbox': ['44.3348304', '44.6548303', '-73.3245352', '-73.0045352']}"
MAN,Manchester Center,05255,425,"{'place_id': 331059352, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.176247543694494', 'lon': '-73.05379349236235', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05255', 'display_name': 'Manchester, Bennington County, 05255, Vermont, United States', 'boundingbox': ['43.0162475', '43.3362475', '-73.2137935', '-72.8937935']}"
MTH,Mt Holly,05758,420,"{'place_id': 331059493, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.437259158932235', 'lon': '-72.7890894698152', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05758', 'display_name': 'Mount Holly, Rutland County, 05758, Vermont, United States', 'boundingbox': ['43.2772592', '43.5972592', '-72.9490895', '-72.6290895']}"
NWB,Newbury,05051,417,"{'place_id': 331059297, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.08302287651934', 'lon': '-72.09846936712707', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05051', 'display_name': 'Newbury, Orange County, 05051, Vermont, United States', 'boundingbox': ['43.9230229', '44.2430229', '-72.2584694', '-71.9384694']}"
TOW,Townshend,05353,414,"{'place_id': 331059369, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.05600317244444', 'lon': '-72.65960013777779', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05353', 'display_name': 'Townshend, Windham County, 05353, Vermont, United States', 'boundingbox': ['42.8960032', '43.2160032', '-72.8196001', '-72.4996001']}"
TRO,Troy,05868,402,"{'place_id': 331059551, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.94888714845679', 'lon': '-72.39989029506174', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05868', 'display_name': 'Troy, Orleans County, 05868, Vermont, United States', 'boundingbox': ['44.7888871', '45.1088871', '-72.5598903', '-72.2398903']}"
WIN,Winooski,05404,397,"{'place_id': 331059382, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.493083280246914', 'lon': '-73.18578918271605', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05404', 'display_name': 'Winooski, Chittenden County, 05404, Vermont, United States', 'boundingbox': ['44.3330833', '44.6530833', '-73.3457892', '-73.0257892']}"
HUN,Huntington,05462,395,"{'place_id': 331059406, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.3219595375', 'lon': '-72.980051925', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05462', 'display_name': 'Huntington, Chittenden County, 05462, Vermont, United States', 'boundingbox': ['44.1619595', '44.4819595', '-73.1400519', '-72.8200519']}"
DAV,Danville,05828,380,"{'place_id': 331059523, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.419960979310346', 'lon': '-72.1152915321839', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05828', 'display_name': 'Danville, Caledonia County, 05828, Vermont, United States', 'boundingbox': ['44.2599610', '44.5799610', '-72.2752915', '-71.9552915']}"
LYN,Lyndon,05849,380,"{'place_id': 331091501, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.508783', 'lon': '-72.026901', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05849', 'display_name': 'Lyndon, Caledonia County, 05849, Vermont, United States', 'boundingbox': ['44.3487830', '44.6687830', '-72.1869010', '-71.8669010']}"
MIL,Milton,05468,368,"{'place_id': 331059410, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.64057347559808', 'lon': '-73.12673231435406', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05468', 'display_name': 'Milton, Chittenden County, 05468, Vermont, United States', 'boundingbox': ['44.4805735', '44.8005735', '-73.2867323', '-72.9667323']}"
RMD,Richmond,05477,352,""
MID,Middlebury,05753,344,"{'place_id': 331059491, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.01106653871664', 'lon': '-73.15363405430035', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05753', 'display_name': 'Middlebury, Addison County, 05753, Vermont, United States', 'boundingbox': ['43.8510665', '44.1710665', '-73.3136341', '-72.9936341']}"
BRA,Bradford,05033,343,"{'place_id': 331059281, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.99284835830904', 'lon': '-72.13330518075803', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05033', 'display_name': 'Bradford, Orange County, 05033, Vermont, United States', 'boundingbox': ['43.8328484', '44.1528484', '-72.2933052', '-71.9733052']}"
FER,Ferrisburgh,05456,337,"{'place_id': 331059400, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.21151496666667', 'lon': '-73.25332224166667', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05456', 'display_name': 'Ferrisburgh, Addison County, 05456, Vermont, United States', 'boundingbox': ['44.0515150', '44.3715150', '-73.4133222', '-73.0933222']}"
NPC,Newport Center,05857,333,"{'place_id': 331059544, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.95604081959799', 'lon': '-72.28043749296482', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05857', 'display_name': 'Newport Town, Orleans County, 05857, Vermont, United States', 'boundingbox': ['44.7960408', '45.1160408', '-72.4404375', '-72.1204375']}"
WIL,Williamstown,05679,321,"{'place_id': 331059465, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.114078371728596', 'lon': '-72.52702224329563', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05679', 'display_name': 'Williamstown, Orange County, 05679, Vermont, United States', 'boundingbox': ['43.9540784', '44.2740784', '-72.6870222', '-72.3670222']}"
IRB,Irasburg,05845,310,"{'place_id': 331059536, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.771756352459015', 'lon': '-72.30099906284154', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05845', 'display_name': 'Irasburg, Orleans County, 05845, Vermont, United States', 'boundingbox': ['44.6117564', '44.9317564', '-72.4609991', '-72.1409991']}"
RYG,Ryegate,05042,303,"{'place_id': 331059290, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.20141095826087', 'lon': '-72.07805080869565', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05042', 'display_name': 'Ryegate, Caledonia County, 05042, Vermont, United States', 'boundingbox': ['44.0414110', '44.3614110', '-72.2380508', '-71.9180508']}"
BAN,Barton,05822,303,"{'place_id': 331059517, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.74813511763367', 'lon': '-72.16254453003413', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05822', 'display_name': 'Barton, Orleans County, 05822, Vermont, United States', 'boundingbox': ['44.5881351', '44.9081351', '-72.3225445', '-72.0025445']}"
LYV,Lyndonville,05851,296,"{'place_id': 331059541, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.556084744025156', 'lon': '-72.07395242798742', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05851', 'display_name': 'Wheelock, Caledonia County, 05851, Vermont, United States', 'boundingbox': ['44.3960847', '44.7160847', '-72.2339524', '-71.9139524']}"
CAS,Castleton,05735,292,"{'place_id': 331059476, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.61780145816327', 'lon': '-73.19406085969388', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05735', 'display_name': 'Castleton, Rutland County, 05735, Vermont, United States', 'boundingbox': ['43.4578015', '43.7778015', '-73.3540609', '-73.0340609']}"
PUT,Putney,05346,265,"{'place_id': 331059365, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.01094538190883', 'lon': '-72.51416051880342', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05346', 'display_name': 'Putney, Windham County, 05346, Vermont, United States', 'boundingbox': ['42.8509454', '43.1709454', '-72.6741605', '-72.3541605']}"
